County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race)
Aitkin,15722,14937,62,309,52,2,8,352,186,0.9500699656532248,0.003943518636305814,0.01965398804223381,0.003307467243353263,0.00012721027859051011,0.0005088411143620405,0.02238900903192978,0.01183055590891744
Anoka,341249,291633,17750,2246,14142,107,5092,10279,13847,0.8546047021383213,0.052014804438987365,0.006581704268730458,0.04144187968316391,0.00031355403239276893,0.014921655448074573,0.030121699990329643,0.040577408285445524
Becker,33375,29299,154,2517,165,10,118,1112,587,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445695,0.033318352059925095,0.01758801498127341
Beltrami,45644,33600,416,9621,391,48,111,1457,945,0.7361318026465691,0.009114012794671809,0.21078345456138814,0.008566295679607396,0.00105161686092367,0.0024318639908859872,0.0319209534659539,0.020703706949434755
Benton,39457,37032,1046,167,437,0,32,743,791,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.018830625744481334,0.020047139924474745
Big Stone,5098,5038,9,0,0,0,4,47,64,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328
Blue Earth,65524,60046,2166,263,1347,8,297,1397,2016,0.9163970453574263,0.033056589951773394,0.004013796471521885,0.020557353030950493,0.00012209266833526647,0.004532690311946768,0.021320432208045907,0.03076735242048715
Brown,25327,24587,57,56,166,15,238,208,987,0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.03897026888301022
Carlton,35482,31710,525,1838,216,7,63,1123,590,0.893692576517671,0.014796234710557465,0.05180091313905642,0.0060875937094865004,0.00019728312947409955,0.001775548165266896,0.031649850628487686,0.016628149484245534
Carver,97143,90204,1388,135,2672,75,534,2135,3927,0.9285692226923196,0.01428821428203782,0.0013897038386708254,0.02750584190317367,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.040424940551558014
Cass,28633,24315,100,3174,166,13,36,829,521,0.8491949848077394,0.0034924737191352633,0.11085111584535326,0.0057975063737645376,0.00045402158348758424,0.0012572905388886948,0.028952607131631336,0.018195788076694724
Chippewa,12126,11265,65,177,81,130,213,195,730,0.9289955467590302,0.005360382648853703,0.014596734289955468,0.006679861454725384,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435
Chisago,54041,51690,672,218,382,4,107,968,1044,0.9564959937824985,0.012435003053237357,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.019318665457708037
Clay,61402,56626,1271,770,644,26,263,1802,2583,0.9222175173447119,0.020699651477150582,0.012540308133285561,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247
Clearwater,8764,7564,29,805,40,11,12,303,150,0.863076220903697,0.0033089913281606573,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788
Cook,5215,4527,15,429,48,20,68,108,98,0.8680728667305848,0.0028763183125599234,0.08226270373921381,0.009204218600191754,0.003835091083413231,0.013039309683604986,0.020709491850431447,0.01879194630872483
Cottonwood,11557,10474,72,54,333,4,428,192,786,0.906290559833867,0.006229990481958986,0.004672492861469239,0.02881370597906031,0.00034611058233105475,0.03703383230942286,0.01661330795189063,0.06801072942805227
Crow Wing,63321,60995,389,747,288,0,46,856,860,0.9632665308507447,0.006143301590309692,0.01179703415928365,0.00454825413369972,0.0,0.0007264572574659276,0.013518422008496392,0.013581592204797776
Dakota,411402,344555,22082,1168,19126,52,11411,13008,27048,0.8375141589005402,0.05367499428782553,0.0028390722456380865,0.046489808022323664,0.0001263970520318326,0.027736860783370038,0.03161870870827074,0.06574591275686555
Dodge,20361,19633,67,54,181,0,158,268,988,0.9642453710525023,0.0032906045872010217,0.0026521290702814205,0.00888954373557291,0.0,0.00775993320563823,0.013162418348804087,0.04852413928588969
Douglas,36862,35891,212,138,79,0,139,403,532,0.9736585101188215,0.0057511800770441105,0.003743692691660789,0.0021431284249362487,0.0,0.0037708208995713742,0.010932667787965927,0.014432206608431447
Faribault,14119,13762,28,11,47,0,78,193,877,0.9747149231531979,0.0019831432821021317,0.0007790920036829804,0.003328847652100007,0.0,0.005524470571570224,0.013669523337346837,0.06211488065727035
Fillmore,20877,20497,87,16,91,2,33,151,266,0.9817981510753461,0.0041672654116970825,0.0007663936389327968,0.0043588638214302824,9.57992048665996e-05,0.0015806868802988934,0.007232839967428271,0.012741294247257747
Freeborn,30751,29129,406,88,439,7,325,357,2880,0.9472537478455986,0.013202822672433417,0.00286169555461611,0.014275958505414459,0.00022763487366264513,0.010568761991479951,0.0116093785567949,0.09365549087834542
Goodhue,46450,44289,562,526,245,0,58,770,1446,0.9534768568353068,0.01209903121636168,0.011324004305705059,0.00527448869752422,0.0,0.0012486544671689989,0.016576964477933262,0.031130247578040903
Grant,5943,5792,2,26,7,0,12,104,113,0.9745919569241124,0.0003365303718660609,0.004374894834258792,0.001177856301531213,0.0,0.0020191822311963654,0.01749957933703517,0.01901396601043244
Hennepin,1209265,891912,150522,7999,83228,487,32774,42343,82312,0.7375653806237673,0.1244739573211827,0.006614761859476624,0.06882527816483566,0.00040272396869172597,0.027102413449492047,0.03501548461255391,0.06806779324631078
Houston,18791,18267,87,39,76,5,34,283,172,0.9721143100420414,0.004629876004470225,0.002075461657176308,0.004044489383215369,0.00026608482784311636,0.0018093768293331914,0.015060401255920387,0.009153318077803204
Hubbard,20640,19464,136,442,125,4,60,409,384,0.9430232558139535,0.006589147286821705,0.021414728682170543,0.006056201550387597,0.0001937984496124031,0.0029069767441860465,0.019815891472868215,0.018604651162790697
Isanti,38461,36830,228,176,336,9,144,738,683,0.9575934063076883,0.005928082993161905,0.0045760640648969085,0.00873612230571228,0.00023400327604586465,0.0037440524167338344,0.0191882686357609,0.017758248615480615
Itasca,45356,42163,224,1594,191,5,98,1081,568,0.9296013757826969,0.004938707117029721,0.03514419260957757,0.004211129729253021,0.00011023899814798484,0.002160684363700503,0.02383367139959432,0.012523150189611077
Jackson,10163,9713,23,9,223,3,93,99,333,0.9557217357079603,0.0022631112860375872,0.0008855652858407951,0.021942339860277476,0.00029518842861359833,0.009150841287021549,0.009741218144248746,0.03276591557610942
Kanabec,15918,15385,54,155,76,1,30,217,246,0.9665158939565272,0.003392385978137957,0.009737404196507099,0.004774469154416384,6.282196255811031e-05,0.0018846588767433095,0.013632365875109938,0.015454202789295138
Kandiyohi,42510,37765,1566,234,308,0,2047,590,4993,0.8883792048929664,0.036838390966831336,0.005504587155963303,0.00724535403434486,0.0,0.048153375676311456,0.013879087273582686,0.11745471653728534
Kittson,4436,4347,28,9,17,0,2,33,86,0.9799368800721371,0.0063119927862939585,0.0020288548241659153,0.003832281334535618,0.0,0.0004508566275924256,0.007439134355275023,0.0193868349864743
Koochiching,12930,12106,119,471,57,0,3,174,25,0.9362722351121423,0.009203402938901779,0.03642691415313225,0.004408352668213457,0.0,0.0002320185614849188,0.01345707656612529,0.0019334880123743233
