County,2012 turnout,2014 turnout,2016 turnout
AITKIN COUNTY,68.95,55.3,71.1
ANOKA COUNTY,75.36,50,76.9
BECKER COUNTY,66.4,49.5,70.8
BELTRAMI COUNTY,65.55,47.2,64.8
BENTON COUNTY,67.81,46.3,69.8
BIG STONE COUNTY,67.94,52.3,68
BLUE EARTH COUNTY,66.21,40,66.5
BROWN COUNTY,69.59,47.3,70.3
CARLTON COUNTY,68.01,52,68
CARVER COUNTY,81.25,59.8,86.7
CASS COUNTY,72.37,55.5,72.3
CHIPPEWA COUNTY,66.07,51.5,69.1
CHISAGO COUNTY,73.16,51.5,75.5
CLAY COUNTY,62.93,40.4,65.2
CLEARWATER COUNTY,63.84,45.3,65.3
COOK COUNTY,77.06,69.4,81.7
COTTONWOOD COUNTY,66.36,50.1,66.4
CROW WING COUNTY,72.2,56.6,74.5
DAKOTA COUNTY,77.71,54.5,81.1
DODGE COUNTY,71.75,55.2,74.7
DOUGLAS COUNTY,74.32,54.8,77.1
FARIBAULT COUNTY,68.68,48.6,67.2
FILLMORE COUNTY,68.72,53.9,71
FREEBORN COUNTY,68.96,52.3,68.6
GOODHUE COUNTY,73.13,50.1,74.2
GRANT COUNTY,74.47,61.4,75.3
HENNEPIN COUNTY,75.45,55.1,81.1
HOUSTON COUNTY,71.69,54.8,73.3
HUBBARD COUNTY,72.8,55.2,72.6
ISANTI COUNTY,71.23,50,74.5
ITASCA COUNTY,68.12,54.4,69
JACKSON COUNTY,69.31,49.8,70.8
KANABEC COUNTY,66,51,66.5
KANDIYOHI COUNTY,66.94,54.1,70.8
KITTSON COUNTY,69.29,55.7,69.6
KOOCHICHING COUNTY,62.13,53,63.1
LAC QUI PARLE COUNTY,70.37,52.8,70.4
LAKE COUNTY,68.04,59,75.4
LAKE OF THE WOODS COUNT,69.87,60.8,71.8
LE SUEUR COUNTY,71.71,48.3,73.8
LINCOLN COUNTY,69.45,51.9,67.5
LYON COUNTY,63.43,45.2,66.4
MCLEOD COUNTY,68.17,46.8,71.1
MAHNOMEN COUNTY,57.43,46,55.5
MARSHALL COUNTY,67.53,57.8,68.4
MARTIN COUNTY,68.23,50,67.4
MEEKER COUNTY,70.59,54.1,72.7
MILLE LACS COUNTY,67.74,46.7,67.5
MORRISON COUNTY,66.9,52.5,71.1
MOWER COUNTY,63.6,43.5,64.5
MURRAY COUNTY,71.4,53.4,71.8
NICOLLET COUNTY,72.22,47.3,72.9
NOBLES COUNTY,54.33,45.8,66.6
NORMAN COUNTY,62.12,48.5,64.6
OLMSTED COUNTY,72,49.8,77.4
OTTER TAIL COUNTY,70.7,50.5,73.8
PENNINGTON COUNTY,60.95,49.4,64
PINE COUNTY,60.66,45.9,61.1
PIPESTONE COUNTY,65.43,55.4,69.6
POLK COUNTY,61.36,41.9,63
POPE COUNTY,72.79,57.7,74.1
RAMSEY COUNTY,70.86,50.5,75
RED LAKE COUNTY,64.42,48.4,63.1
REDWOOD COUNTY,65.09,47,65.4
RENVILLE COUNTY,64.67,48.9,66
RICE COUNTY,65.43,46.5,69.2
ROCK COUNTY,68.31,45.2,69.5
ROSEAU COUNTY,64.35,48.1,69
ST. LOUIS COUNTY,72,51.5,70.8
SCOTT COUNTY,77.24,52.1,83.3
SHERBURNE COUNTY,73.17,49.6,76.6
SIBLEY COUNTY,69.29,55.5,71.2
STEARNS COUNTY,67.49,45.8,70.7
STEELE COUNTY,71.26,48,73.2
STEVENS COUNTY,73.53,57.5,73.1
SWIFT COUNTY,71.95,55.3,68.2
TODD COUNTY,63.3,49.4,66.8
TRAVERSE COUNTY,67.21,56.4,67.3
WABASHA COUNTY,71.13,51.5,72.7
WADENA COUNTY,65.33,49.5,67.4
WASECA COUNTY,66.71,46.7,69.4
WASHINGTON COUNTY,79.95,56.5,82.3
WATONWAN COUNTY,61.47,50.3,67.9
WILKIN COUNTY,64.54,47.3,66.7
WINONA COUNTY,65.68,39.9,64.6
WRIGHT COUNTY,76.47,52.1,78.8
YELLOW MEDICINE COUNTY,69.15,51.1,68.7
