Year,Votes,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,McLeod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St. Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine,District
2010,251025,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,1
2010,291641,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,2
2010,278776,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,3
2010,236429,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,4
2010,234323,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,5
2010,305780,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,6
2010,245517,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,7
2010,279878,7425,131703,11904,16187,13827,2233,22565,10517,13780,37198,13081,4905,22990,19273,3590,2858,4657,27658,162919,7988,15669,6595,8466,13564,19583,3069,470477,7952,9822,14873,19835,4363,6593,17447,2006,5119,3660,5614,1907,11679,2478,9002,13525,1943,4316,8827,9915,10290,12909,14365,3818,13380,6050,2693,55647,25178,4802,10995,3618,10889,5299,192955,1620,6125,6364,23478,3706,6683,85295,47991,33092,6014,55815,14850,4435,4522,9395,1807,9028,5474,7937,103725,4282,2458,18455,48199,4174,8
2012,347347,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,1
2012,379264,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,2
