CG,Year,Votes
1,2010,251025
2,2010,291641
3,2010,278776
4,2010,236429
5,2010,234323
6,2010,305780
7,2010,245517
8,2010,279878
1,2012,347347
2,2012,379264
3,2012,403847
4,2012,373284
5,2012,376626
6,2012,367026
7,2012,338652
8,2012,364734
1,2014,229564
2,2014,248549
3,2014,273488
4,2014,246088
5,2014,240709
6,2014,240697
7,2014,244791
8,2014,268680
1,2016,346854
2,2016,384539
3,2016,405198
4,2016,370000
5,2016,376895
6,2016,376481
7,2016,342584
8,2016,365730
1,2018,261148
2,2018,246537
3,2018,294054
4,2018,370364
5,2018,311216
6,2018,262341
7,2018,346433
8,2018,254547
