Geography,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree
Aitkin,2.0,6.6,39.0,25.1,11.2,11.3,4.7
Anoka,2.1,4.4,28.1,24.3,12.8,20.1,8.1
Becker,2.7,4.9,32.8,23.8,12.1,16.5,7.2
Beltrami,2.3,7.5,27.2,23.6,12.6,17.5,9.3
Benton,2.6,5.1,32.3,24.6,13.2,16.0,6.2
Big Stone,4.0,6.4,42.7,20.1,10.3,12.4,4.2
Blue Earth,1.6,4.2,28.5,22.3,11.8,21.3,10.4
Brown,4.0,4.9,37.8,21.8,10.7,15.3,5.5
Carlton,1.7,4.1,36.8,24.2,11.3,16.4,5.6
Carver,2.0,2.3,20.5,18.4,10.8,32.7,13.4
Cass,2.2,6.4,34.2,25.5,10.8,14.6,6.3
Chippewa,6.1,3.9,36.1,24.0,13.5,12.3,4.1
Chisago,1.4,4.8,34.1,25.6,12.0,15.3,6.7
Clay,2.2,3.4,26.5,21.6,13.4,24.1,8.9
Clearwater,4.9,8.6,38.0,22.5,11.3,10.7,3.9
Cook,1.0,3.3,24.3,21.3,10.4,24.5,15.1
Cottonwood,4.5,5.6,34.7,25.7,9.6,15.0,4.9
Crow Wing,1.7,4.9,30.4,25.6,13.2,15.9,8.3
Dakota,2.0,3.3,21.0,21.5,11.5,28.3,12.5
Dodge,1.8,4.0,34.2,22.7,13.4,18.3,5.5
Douglas,1.8,3.3,29.8,22.5,17.5,18.4,6.6
Faribault,4.2,5.6,40.5,21.0,11.7,12.7,4.2
Fillmore,4.7,4.5,34.3,24.5,11.6,14.5,5.9
Freeborn,4.5,6.6,36.1,24.0,12.1,12.1,4.7
Goodhue,2.3,4.4,33.1,23.8,12.0,17.1,7.2
Grant,2.0,5.2,33.5,23.2,16.5,15.0,4.5
Hennepin,3.3,3.8,17.5,19.2,8.5,30.6,17.0
Houston,2.2,4.2,33.8,22.7,14.5,16.3,6.3
Hubbard,2.2,5.8,31.9,22.9,11.8,17.1,8.3
Isanti,2.2,6.7,36.8,25.4,11.3,12.5,5.2
Itasca,1.7,5.0,31.0,28.1,11.9,15.1,7.2
Jackson,2.8,5.0,33.0,25.8,12.2,15.9,5.3
Kanabec,2.4,9.0,40.7,24.2,9.8,8.3,5.4
Kandiyohi,5.2,6.5,26.5,25.2,14.0,15.0,7.5
Kittson,3.5,4.7,36.2,25.9,9.1,15.7,5.0
Koochiching,3.5,5.5,37.1,25.4,10.2,12.7,5.7
Lac qui Parle,3.7,3.4,38.8,23.1,12.6,13.8,4.6
Lake,1.0,3.6,33.5,23.0,11.6,17.1,10.1
Lake of the Woods,4.2,6.1,42.0,23.5,7.2,14.0,3.0
Le Sueur,2.8,6.5,36.0,21.6,11.8,15.2,6.2
Lincoln,3.4,4.9,40.5,20.3,12.0,15.2,3.7
Lyon,4.0,3.6,33.5,20.5,11.7,19.4,7.3
McLeod,3.8,5.1,36.5,22.2,15.1,12.5,4.8
Mahnomen,4.2,8.7,36.0,25.8,12.7,9.3,3.3
Marshall,5.0,5.9,36.7,20.6,11.8,15.6,4.4
Martin,3.6,6.3,38.8,20.8,12.1,14.3,4.1
Meeker,3.0,5.0,37.3,22.4,13.4,13.7,5.2
Mille Lacs,2.8,7.3,37.9,25.8,10.6,10.7,5.0
Morrison,4.3,6.4,37.9,22.6,12.7,11.4,4.8
Mower,5.8,7.2,31.6,22.7,12.6,13.7,6.3
Murray,5.3,4.7,37.5,23.5,11.2,12.3,5.5
Nicollet,3.0,3.4,27.1,21.3,12.9,22.1,10.2
Nobles,14.3,8.5,33.2,20.8,9.7,9.5,4.0
Norman,4.3,5.5,40.9,20.5,13.2,13.0,2.6
Olmsted,2.8,3.0,20.5,19.9,11.9,24.3,17.7
Otter Tail,3.0,5.3,30.7,23.7,13.3,16.9,7.2
Pennington,3.1,5.4,36.0,24.7,13.4,13.1,4.3
Pine,2.6,8.3,41.3,25.0,9.0,9.7,4.1
Pipestone,6.2,7.6,34.8,21.1,10.4,15.4,4.5
Polk,3.7,5.2,30.9,24.4,11.8,16.7,7.2
Pope,2.5,4.0,33.7,22.4,14.9,16.2,6.3
Ramsey,5.3,4.4,21.9,19.4,8.1,24.7,16.3
Red Lake,2.8,5.1,40.9,22.2,13.9,11.4,3.6
Redwood,4.7,6.8,37.6,22.4,10.7,13.6,4.2
Renville,4.9,6.7,35.9,25.4,12.3,11.5,3.2
Rice,4.1,5.9,31.2,20.5,11.2,16.9,10.3
Rock,5.1,4.8,38.0,18.6,12.9,14.9,5.6
Roseau,3.7,5.1,36.0,25.5,11.1,13.7,4.9
St. Louis,1.5,5.0,29.2,24.4,12.2,18.6,9.2
Scott,2.2,2.9,23.0,20.6,12.4,28.4,10.5
Sherburne,1.4,4.1,27.2,26.9,13.6,19.2,7.5
Sibley,5.0,5.2,40.2,21.1,11.7,12.7,4.0
Stearns,3.9,4.0,29.8,22.8,13.5,17.8,8.1
Steele,3.0,4.6,35.6,22.0,10.0,18.2,6.6
Stevens,5.2,3.2,26.8,20.6,16.1,20.3,7.9
Swift,3.9,7.5,35.5,22.2,13.7,13.3,4.0
Todd,6.4,5.8,36.7,22.2,13.6,11.1,4.2
Traverse,4.9,4.3,36.0,22.1,14.4,13.1,5.0
Wabasha,2.3,4.5,37.1,23.6,11.2,14.6,6.6
Wadena,4.2,6.5,38.2,24.8,13.3,8.9,4.1
Waseca,3.0,5.0,36.2,23.5,12.3,14.9,5.0
Washington,1.5,2.5,21.6,21.1,11.0,27.6,14.7
Watonwan,8.4,6.7,40.7,18.1,9.8,12.7,3.6
Wilkin,3.3,4.4,29.4,22.1,19.5,16.8,4.5
Winona,2.8,4.7,29.2,22.4,11.7,19.2,10.1
Wright,1.7,4.1,28.8,25.3,13.4,19.9,6.9
Yellow Medicine,4.2,5.2,36.8,24.7,12.9,12.6,3.7
