County,Total2010,Male2010,Female2010,Total2012,Male2012,Female2012,Total2014,Male2014,Female2014,Total2016,Male2016,Female2016,2010Millenial,2012Millenial,2014Millenial,2016Millenial,2010GenX,2012GenX,2014GenX,2016GenX,2010Boomer,2012Boomer,2014Boomer,2016Boomer,2010Silent,2012Silent,2014Silent,2016Silent,2010FemaleProp,2012FemaleProp,2014FemaleProp,2016FemaleProp,2010MilProp,2012MilProp,2014MilProp,2016MilProp,2010GenXProp,2012GenXProp,2014GenXProp,2016GenXProp,2010BoomerProp,2012BoomerProp,2014BoomerProp,2016BoomerProp,2010SilentProp,2012SilentProp,2014SilentProp,2016SilentProp
Aitkin,13302,6712,6590,13265,6710,6555,13146,6633,6513,13129,6598,6531,1794,1813,1763,1814,2633,2351,2157,2054,5621,5638,5557,5574,2964,3188,3406,3437,0.49541422342504887,0.4941575574820957,0.49543587403012324,0.49744839667910734,0.13486693730266125,0.1366754617414248,0.13410923474821237,0.13816741564475588,0.19794015937453013,0.17723332076894083,0.16408032861706984,0.1564475588392109,0.42256803488197264,0.4250282698831511,0.42271413357675336,0.42455632569121793,0.2228236355435273,0.24033169996230683,0.2590902175566712,0.26178688399725797
Anoka,245641,121799,123842,252160,125101,127059,258493,128262,130231,263437,130898,132539,62311,63883,65295,65593,77181,73675,71302,70107,77208,83357,88097,91852,20742,23130,26052,28417,0.5041585077409716,0.5038824555837563,0.5038086137729068,0.5031145966587837,0.25366693670844853,0.2533431154822335,0.252598716406247,0.24898932192516618,0.3142024336328219,0.29217560279187815,0.275837256714882,0.26612434851596395,0.31431235013698855,0.33057185913705583,0.3408100025919464,0.3486678029282143,0.08444030108980179,0.09172747461928935,0.10078416049951062,0.10787019287343844
Becker,24543,12282,12261,24839,12378,12461,25065,12496,12569,25494,12686,12808,5057,5210,5237,5218,5804,5503,5422,5523,9022,9389,9465,9595,3974,4076,4270,4407,0.49957217944016624,0.5016707596924191,0.5014562138440056,0.5023927198556523,0.2060465305789838,0.2097507951205765,0.20893676441252743,0.2046756099474386,0.23648290755001425,0.2215467611417529,0.21631757430680232,0.21663920922570015,0.3675997229352565,0.37799428318370304,0.37761819269898267,0.3763630658194085,0.16191989569327303,0.16409678328435123,0.17035707161380412,0.1728642033419628
Beltrami,33417,16489,16928,33757,16669,17088,34045,16787,17258,34331,16915,17416,10039,10217,10313,10271,7278,7018,6870,7016,10036,10474,10679,10753,4111,4231,4371,4512,0.506568513032289,0.5062061202121042,0.5069173153179615,0.5072966123911333,0.3004159559505641,0.30266315134638744,0.3029226024379498,0.29917567213305757,0.21779333871981327,0.2078976212341144,0.20179174621824056,0.20436340333809094,0.30032618128497474,0.3102763871197085,0.31367307974739317,0.313215461244939,0.12302121674596762,0.12533696714755457,0.12838889704802467,0.13142640761993535
Benton,28950,14409,14541,29108,14491,14617,29392,14707,14685,29529,14744,14785,9165,9069,8884,8465,7690,7474,7421,7618,7846,8367,8788,9038,3294,3381,3512,3599,0.502279792746114,0.5021643534423527,0.499625748502994,0.5006942327881067,0.316580310880829,0.3115638312491411,0.3022591181273816,0.28666734396694776,0.26563039723661486,0.2567678988594201,0.25248366902558517,0.257983677063226,0.2710189982728843,0.2874467500343548,0.29899292324442023,0.30607199701987875,0.11378238341968912,0.11615363473959049,0.11948829613500273,0.12188018558027701
Big Stone,4173,2024,2149,4058,1973,2085,4027,1985,2042,3967,1954,2013,689,669,707,721,857,772,714,707,1470,1514,1520,1517,1045,991,976,931,0.5149772346034028,0.5137999014292755,0.507077228706233,0.5074363498865642,0.16510903426791276,0.16485953671759487,0.17556493667742737,0.18174943282077136,0.20536784088185958,0.19024149827501233,0.17730320337720387,0.17822031762036802,0.35226455787203453,0.3730901922129128,0.37745219766575616,0.3824048399294177,0.2504193625688953,0.24420896993592903,0.24236404271169606,0.23468616082682128
Blue Earth,51651,25886,25765,52236,26183,26053,52396,26215,26181,53151,26588,26563,19657,19929,19919,20053,9933,9748,9751,10034,12502,12970,13309,13516,5557,5609,5799,5882,0.4988286770827283,0.4987556474462057,0.4996755477517368,0.4997648209817313,0.3805734642117287,0.38151849299333795,0.380162607832659,0.3772835882673891,0.1923099262356973,0.18661459529826174,0.18610199251851287,0.1887829015446558,0.24204758862364717,0.24829619419557394,0.2540079395373693,0.2542943688735866,0.10758746200460785,0.10737805344972816,0.11067638751049698,0.11066583883652237
Brown,20168,9831,10337,19914,9735,10179,19742,9661,10081,19673,9597,10076,4368,4444,4497,4482,4615,4183,3967,3917,6722,6840,6865,6884,3703,3702,3681,3697,0.5125446251487505,0.5111479361253389,0.5106372201398035,0.5121740456463173,0.2165807219357398,0.22315958622074922,0.22778847127950563,0.22782493773191684,0.2288278460928203,0.21005322888420208,0.20094215378381117,0.19910537284603264,0.33330027766759224,0.3434769508888219,0.347735791713099,0.3499212118131449,0.18360769535898452,0.18589936727930098,0.1864552730219836,0.18792253342144055
Carlton,27070,14110,12960,27144,14197,12947,27266,14302,12964,27469,14416,13053,6041,6176,6151,6212,7378,7005,6879,6860,9003,9330,9507,9708,3785,3842,3941,3926,0.4787587735500554,0.4769746536987916,0.4754639477737842,0.475190214423532,0.2231621721462874,0.22752726201002063,0.2255923127704834,0.22614583712548691,0.27255264130033247,0.25806808134394343,0.25229223208391405,0.24973606611088864,0.33258219431104546,0.3437223695844385,0.34867600674833127,0.35341657868870363,0.1398226819357222,0.1415414087827881,0.1445389862832832,0.1429247515380975
Carver,64164,31495,32669,66866,32836,34030,70240,34562,35678,72940,35839,37101,14741,15000,16102,16452,23030,22245,21780,21870,19040,21304,23302,25072,5272,5791,6414,6968,0.5091484321426345,0.5089283043699339,0.5079441913439635,0.5086509459829998,0.22973941774203605,0.22432925552597732,0.22924259681093395,0.2255552508911434,0.35892400723146933,0.33268028594502436,0.31007972665148065,0.29983548121743897,0.2967396047627953,0.31860736398169476,0.331748291571754,0.3437345763641349,0.08216445358768157,0.08660604791672898,0.09131548974943052,0.09553057307375926
