COUNTYNAME,2010Votes,2010Votes_R,2010Votes_DFL,2010Votes_Total,2012Votes,2012Votes_R,2012Votes_DFL,2012Votes_Total,2014Votes,2014Votes_R,2014Votes_DFL,2014Votes_Total,2016Votes,2016Votes_R,2016Votes_DFL,2016Votes_Total
Aitkin,7425,3682,3210,7357,9219,4533,4412,9142,7307,3200,3788,7264,9316,5516,3134,9231
Anoka,131703,66315,53350,130184,187085,93430,88614,186465,118274,57906,55410,117866,187070,93339,75500,185758
Becker,11904,4487,6579,11768,16471,9204,6829,16382,12124,5941,5396,12023,17375,10880,5208,17222
Beltrami,16187,6344,8624,15841,22189,9637,11818,22051,15567,6456,8252,15433,21718,10783,8688,21564
Benton,13827,6973,5388,13708,19755,10849,8173,19619,13292,6565,5877,13169,20222,12872,5640,20058
Big Stone,2233,736,1304,2191,2816,1385,1345,2789,2161,851,1166,2122,2790,1608,921,2755
Blue Earth,22565,8584,12539,22357,34463,14916,18164,34274,20201,8194,10866,20116,33816,15667,14428,33593
Brown,10517,5104,4633,10379,14030,7938,5630,13929,9394,4657,4270,9344,13925,8708,3763,13779
Carlton,13780,5750,7352,13668,18545,6586,11389,18436,13970,4666,8633,13880,18374,8160,8460,18211
Carver,37198,25886,10650,36563,53079,31155,20745,52899,37124,21323,14424,36938,56156,29056,21508,55696
Cass,13081,6995,4983,12893,16211,8957,6858,16141,12364,6246,5445,12276,16154,9982,4949,15999
Chippewa,4905,1822,2711,4846,6248,2967,3083,6201,4696,2001,2460,4666,6284,3764,1978,6222
Chisago,22990,12584,8660,22637,29578,16227,12524,29441,20364,10456,8979,20277,30425,18441,9278,30228
Clay,19273,5734,12305,18958,29032,12920,15208,28886,18020,6908,10229,17898,29685,13543,12971,29398
Clearwater,3590,1411,1916,3520,4231,2359,1753,4197,2937,1536,1196,2898,4276,2925,1100,4245
Cook,2858,1129,1556,2819,3343,1221,1993,3322,2948,945,1852,2919,3437,1156,1912,3395
Cottonwood,4657,2181,2140,4604,5916,3316,2433,5862,4330,2077,1982,4304,5786,3679,1678,5721
Crow Wing,27658,14964,10541,27363,35067,19415,14760,34920,27065,13715,12049,26908,36148,22287,10982,35842
Dakota,162919,92488,65513,159953,231571,109516,116255,230821,152975,71509,75860,152469,233346,99583,110483,231440
Dodge,7988,4261,3123,7941,10399,5522,4487,10327,7765,3816,3354,7677,10734,6527,3102,10654
