,2004 Estimated VAP,2004 Est. Citizen VAP,Reported Registration,Ballots Counted,Counted of Registration,Active Registration,Counted of VAP,Counted of Citizen VAP
Aitkin County,"13,007 ","12,958 ","9,937 ","9,533 ",95.9 ,95.9 ,73.3 ,73.6 
Anoka County,"233,913 ","229,045 ","170,686 ","174,258 ",102.1 ,102.1 ,74.5 ,76.1 
Becker County,"24,390 ","24,301 ","17,414 ","17,047 ",97.9 ,97.9 ,69.9 ,70.1 
Beltrami County,"31,824 ","31,492 ","20,889 ","21,426 ",102.6 ,102.6 ,67.3 ,68.0 
Benton County,"28,607 ","28,137 ","18,234 ","18,626 ",102.1 ,102.1 ,65.1 ,66.2 
Big Stone County,"4,407 ","4,396 ","3,245 ","3,082 ",95.0 ,95.0 ,69.9 ,70.1 
Blue Earth County,"46,756 ","45,848 ","31,151 ","33,332 ",107.0 ,107.0 ,71.3 ,72.7 
Brown County,"20,628 ","20,510 ","15,373 ","13,961 ",90.8 ,90.8 ,67.7 ,68.1 
Carlton County,"26,356 ","26,205 ","17,833 ","18,487 ",103.7 ,103.7 ,70.1 ,70.5 
Carver County,"59,576 ","58,093 ","46,860 ","45,556 ",97.2 ,97.2 ,76.5 ,78.4 
Cass County,"22,576 ","22,487 ","17,114 ","16,058 ",93.8 ,93.8 ,71.1 ,71.4 
Chippewa County,"9,925 ","9,879 ","7,084 ","6,678 ",94.3 ,94.3 ,67.3 ,67.6 
Chisago County,"35,422 ","35,182 ","29,341 ","28,497 ",97.1 ,97.1 ,80.5 ,81.0 
Clay County,"41,048 ","40,369 ","29,080 ","27,846 ",95.8 ,95.8 ,67.8 ,69.0 
Clearwater County,"6,406 ","6,385 ","4,756 ","4,406 ",92.6 ,92.6 ,68.8 ,69.0 
Cook County,"4,397 ","4,333 ","3,370 ","3,321 ",98.5 ,98.5 ,75.5 ,76.6 
Cottonwood County,"9,171 ","9,050 ","6,801 ","6,456 ",94.9 ,94.9 ,70.4 ,71.3 
Crow Wing County,"46,391 ","46,167 ","35,049 ","33,666 ",96.1 ,96.1 ,72.6 ,72.9 
Dakota County,"276,863 ","268,338 ","217,954 ","216,181 ",99.2 ,99.2 ,78.1 ,80.6 
Dodge County,"14,286 ","14,078 ","10,217 ","10,017 ",98.0 ,98.0 ,70.1 ,71.2 
Douglas County,"27,582 ","27,488 ","21,172 ","20,430 ",96.5 ,96.5 ,74.1 ,74.3 
Faribault County,"12,196 ","12,071 ","9,341 ","8,789 ",94.1 ,94.1 ,72.1 ,72.8 
Fillmore County,"16,460 ","16,412 ","12,647 ","11,798 ",93.3 ,93.3 ,71.7 ,71.9 
Freeborn County,"25,181 ","24,561 ","18,918 ","17,775 ",94.0 ,94.0 ,70.6 ,72.4 
Goodhue County,"35,077 ","34,839 ","27,285 ","25,758 ",94.4 ,94.4 ,73.4 ,73.9 
Grant County,"4,950 ","4,935 ","4,206 ","3,841 ",91.3 ,91.3 ,77.6 ,77.8 
Hennepin County,"855,503 ","794,206 ","692,450 ","647,912 ",93.6 ,93.6 ,75.7 ,81.6 
Houston County,"15,333 ","15,264 ","11,933 ","11,173 ",93.6 ,93.6 ,72.9 ,73.2 
Hubbard County,"14,777 ","14,739 ","11,842 ","11,458 ",96.8 ,96.8 ,77.5 ,77.7 
Isanti County,"28,372 ","28,187 ","18,939 ","19,368 ",102.3 ,102.3 ,68.3 ,68.7 
Itasca County,"35,266 ","35,096 ","25,813 ","24,638 ",95.4 ,95.4 ,69.9 ,70.2 
Jackson County,"8,721 ","8,608 ","6,317 ","5,881 ",93.1 ,93.1 ,67.4 ,68.3 
Kanabec County,"12,506 ","12,460 ","8,324 ","8,351 ",100.3 ,100.3 ,66.8 ,67.0 
Kandiyohi County,"31,691 ","30,821 ","23,130 ","21,749 ",94.0 ,94.0 ,68.6 ,70.6 
Kittson County,"3,733 ","3,695 ","3,026 ","2,727 ",90.1 ,90.1 ,73.1 ,73.8 
Koochiching County,"11,087 ","10,823 ","7,884 ","7,402 ",93.9 ,93.9 ,66.8 ,68.4 
Lac Qui Parle County,"6,196 ","6,180 ","4,929 ","4,571 ",92.7 ,92.7 ,73.8 ,74.0 
Lake County,"9,053 ","9,006 ","7,509 ","7,135 ",95.0 ,95.0 ,78.8 ,79.2 
Lake Of The Woods County,"3,438 ","3,392 ","2,665 ","2,422 ",90.9 ,90.9 ,70.4 ,71.4 
Le Sueur County,"21,066 ","20,758 ","15,105 ","14,573 ",96.5 ,96.5 ,69.2 ,70.2 
Lincoln County,"4,793 ","4,774 ","3,770 ","3,407 ",90.4 ,90.4 ,71.1 ,71.4 
