,Total Ballots Cast,Total Ballots Counted
Aitkin County,7407,7405
Anoka County,126958,126941
Becker County,12347,12345
Beltrami County,16028,16021
Benton County,13614,13614
Big Stone County,2537,2537
Blue Earth County,24401,24391
Brown County,11026,11015
Carlton County,13460,13459
Carver County,34352,34339
Cass County,11395,11395
Chippewa County,5213,5213
Chisago County,20870,20869
Clay County,18640,18635
Clearwater County,3575,3575
Cook County,2742,2742
Cottonwood County,5050,5049
Crow Wing County,25101,25097
Dakota County,156588,156565
Dodge County,7398,7398
Douglas County,15077,15074
Faribault County,6801,6801
Fillmore County,8981,8969
Freeborn County,14056,14052
Goodhue County,19190,19190
Grant County,2866,2866
Hennepin County,456924,456862
Houston County,8661,8661
Hubbard County,8913,8913
Isanti County,13970,13968
Itasca County,18345,18343
Jackson County,4676,4676
Kanabec County,6210,6210
Kandiyohi County,16729,16729
Kittson County,2102,2102
Koochiching County,5108,5108
Lac qui Parle County,3692,3692
Lake County,5658,5657
Lake of the Woods County,1853,1853
Le Sueur County,10988,10988
Lincoln County,2567,2567
Lyon County,8997,8997
McLeod County,8497,8497
Mahnomen County,14045,14045
Marshall County,2112,2112
Martin County,4212,4211
Meeker County,9979,9978
Mille Lacs County,9805,9805
Morrison County,12884,12884
Mower County,15180,15180
Murray County,4054,4039
Nicollet County,13783,13779
Nobles County,7146,7143
Norman County,2817,2815
Olmsted County,52762,52754
Otter Tail County,23246,23246
Pennington County,4849,4849
Pine County,10759,10759
Pipestone County,3974,3972
Polk County,11431,11429
Pope County,5419,5419
Ramsey County,196774,196640
Red Lake County,1793,1793
Redwood County,6159,6159
Renville County,6578,6578
Rice County,23284,23283
Rock County,3928,3928
Roseau County,6001,6001
St. Louis County,85697,85689
Scott County,44692,44692
Sherburne County,30109,30104
Sibley County,6175,6172
Stearns County,54792,54782
Steele County,14483,14462
Stevens County,4539,4539
Swift County,4743,4743
Todd County,9723,9719
Traverse County,1761,1761
Wabasha County,8978,8975
Wadena County,5533,5531
Waseca County,7795,7791
Washington County,96994,96970
Watonwan County,4355,4355
Wilkin County,2677,2677
Winona County,19008,19007
Wright County,45263,45253
Yellow Medicine County,4611,4595
